,SQUAD,SHOOT_SH,SHOOT_DIST,SEASON,PASS_TOTDIST,PASS_PRGDIST,PASS_ATT,PASS_ATT1,PASS_ATT2,PASS_ATT3,PASS_KP,PT_CRS,PT_CK,GSC_PASSLIVE,GSC_PASSLIVE1,GSC_PASSDEAD,GSC_PASSDEAD1,GSC_TO,GSC_TO1,GSC_SH,GSC_SH1,GSC_FLD,GSC_FLD1,GSC_DEF,GSC_DEF1,DA_TKL,DA_TKL1,DA_ATT,DA_BLOCKS,DA_INT,POSS_POSS,MISC_CRDY,MISC_CRDR,MISC_FLS,MISC_RECOV
0,ar Argentina,24,21.8,2023 WWC,14741,6386,1284,577,431,190,16,38,7,20,2,7,0,2,0,0,0,6,0,1,0,73,47,94,38,42,50.0,6,0,32,204
1,au Australia,97,16.9,2023 WWC,38125,16311,3123,1254,1163,509,59,146,46,109,10,15,2,11,1,14,0,4,2,3,1,122,66,127,77,48,49.9,5,0,54,447
2,br Brazil,61,17.5,2023 WWC,23036,8223,1719,653,777,214,41,76,22,85,6,3,0,6,0,6,2,8,0,0,0,62,20,43,49,23,63.3,1,0,20,247
3,ca Canada,43,17.2,2023 WWC,21262,7750,1622,659,671,213,33,66,15,49,1,10,0,5,0,5,0,5,0,4,0,70,24,52,45,42,62.0,4,0,17,220
4,cn China PR,22,21.6,2023 WWC,12812,5548,1217,540,389,174,11,41,11,22,1,3,0,1,0,2,1,3,1,3,0,64,35,61,40,28,41.3,0,1,24,217
5,co Colombia,62,20.3,2023 WWC,23138,10630,2007,861,638,371,43,68,23,66,3,11,1,7,3,10,3,5,0,1,0,133,71,131,76,51,48.2,7,0,50,378
6,cr Costa Rica,23,14.5,2023 WWC,13574,5200,1075,370,446,198,18,28,4,16,1,8,0,1,0,6,1,5,0,0,0,41,21,71,58,32,40.0,4,0,34,161
7,dk Denmark,40,17.8,2023 WWC,22768,8548,1899,726,788,258,26,70,15,41,3,7,1,3,0,2,0,2,0,2,0,90,47,102,62,41,50.5,3,0,41,286
8,eng England,95,15.2,2023 WWC,60988,22148,4321,1761,1740,591,70,142,39,106,15,25,2,6,0,15,2,4,1,1,1,152,64,133,104,67,62.0,6,1,70,471
9,fr France,93,16.8,2023 WWC,37374,14134,2808,1104,1061,458,66,166,40,98,13,22,1,5,0,13,4,6,0,3,0,130,65,110,84,53,63.8,4,0,67,406
