,SQUAD,SH_SHOOT,DIST_SHOOT,TOTDIST_PASS,PRGDIST_PASS,ATT_PASS,ATT_PASS,ATT_PASS,ATT_PASS,KP_PASS,CRS_PT,CK_PT,PASSLIVE_GSC,PASSLIVE_GSC,PASSDEAD_GSC,PASSDEAD_GSC,TO_GSC,TO_GSC,SH_GSC,SH_GSC,FLD_GSC,FLD_GSC,DEF_GSC,DEF_GSC,TKL_DA,TKL_DA,ATT_DA,BLOCKS_DA,INT_DA,POSS_POSS,CRDY_MISC,CRDR_MISC,FLS_MISC,RECOV_MISC
0,Alavés,286,18.3,140944,66028,10694,3170,4308,2614,186,443,106,261,34,61,7,14,2,40,4,33,5,14,1,490,198,380,321,328,44.6,59,1,311,1575
1,Alhama,304,20.8,99993,56481,9075,2552,3198,2795,183,534,91,291,25,53,1,18,2,24,3,33,0,17,1,746,312,629,420,461,39.6,61,4,383,1782
2,Athletic Club,325,20.4,167498,71664,12317,3776,5016,2882,201,580,129,335,38,66,3,19,1,37,5,33,1,17,1,573,225,500,330,375,47.4,37,1,279,1908
3,Atlético Madrid,387,17.5,223757,88648,15037,5271,6565,2505,276,554,150,469,63,54,3,49,8,37,6,34,4,11,1,506,162,320,304,371,56.3,44,0,282,1808
4,Barcelona,728,15.3,291968,107567,20580,9280,8124,2144,561,826,264,951,147,124,12,64,18,100,15,30,6,9,0,473,159,269,244,280,70.4,31,0,258,1921
5,Levante,479,17.1,225390,92602,15561,5639,6647,2508,344,567,175,576,92,80,11,54,9,47,10,37,6,14,4,589,233,395,343,323,60.4,34,0,291,1822
6,Levante Planas,301,21.5,139805,65995,10611,3297,4309,2494,193,289,93,257,21,85,2,29,2,34,6,54,5,16,1,579,211,411,308,358,44.1,64,2,361,1707
7,Madrid CFF,501,19.2,184392,80754,13822,5397,5363,2287,358,498,146,595,77,85,7,55,11,43,5,27,6,21,4,589,224,415,330,351,52.4,60,1,346,1943
8,Real Betis,288,20.2,143748,63925,11383,3890,4364,2353,200,423,119,294,25,67,5,33,7,26,2,27,4,15,0,586,283,517,295,359,46.3,51,2,306,1792
9,Real Madrid,460,17.3,247980,90907,16558,6102,7100,2593,335,596,177,596,99,58,6,41,9,48,11,26,3,20,5,572,212,388,323,358,61.2,35,0,283,1828
10,Real Sociedad,445,17.5,227307,87793,15864,5842,6880,2343,328,468,142,548,59,73,7,39,6,54,6,24,6,21,3,517,180,451,308,334,58.4,36,1,234,1873
11,Sevilla,361,17.3,148239,71496,11184,3806,4544,2203,248,483,115,384,49,84,7,25,7,34,1,52,7,19,1,608,252,505,356,343,45.2,46,6,292,1783
12,Sporting Huelva,228,20.1,98143,56106,9273,3092,3159,2410,149,356,84,234,26,42,4,15,4,15,2,26,5,10,0,590,264,534,380,424,37.2,45,3,343,1813
13,UDG Tenerife,354,19.9,141978,67176,10529,2889,4336,2799,223,481,136,359,35,67,4,38,7,27,4,45,7,18,1,559,208,405,353,359,44.8,55,3,310,1761
14,Valencia,339,19.3,153528,69063,12059,4429,4770,2040,232,443,114,362,40,65,4,38,5,40,8,39,2,8,0,520,229,421,331,305,48.8,43,0,249,1716
15,Villarreal,281,19.0,120937,60851,9981,3204,3682,2448,181,488,117,304,28,54,2,23,1,27,4,36,4,11,2,658,270,516,335,382,43.2,60,3,395,1699
